0,1,2,3,4,5,6,7,8
0 mins,47 mins,39 mins,30 mins,39 mins,35 mins,36 mins,43 mins,49 mins
40 mins,0 mins,11 mins,18 mins,10 mins,32 mins,31 mins,39 mins,45 mins
47 mins,8 mins,0 mins,25 mins,16 mins,39 mins,38 mins,46 mins,53 mins
29 mins,24 mins,17 mins,0 mins,16 mins,17 mins,17 mins,23 mins,30 mins
38 mins,15 mins,8 mins,17 mins,0 mins,31 mins,29 mins,38 mins,44 mins
35 mins,39 mins,32 mins,17 mins,31 mins,0 mins,14 mins,19 mins,26 mins
36 mins,36 mins,29 mins,16 mins,29 mins,15 mins,0 mins,28 mins,35 mins
42 mins,45 mins,38 mins,23 mins,36 mins,17 mins,27 mins,0 mins,13 mins
50 mins,53 mins,46 mins,31 mins,44 mins,24 mins,35 mins,12 mins,0 mins
